; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
pratisammiSr	pratisammiSray
udmudraya	udmudray
parimudraya	parimudray
vimudraya	vimudray
AmuzAya	AmuzAy
pramuzAya	pramuzAy
avamUtraya	avamUtray
pramUtraya	pramUtray
sammUtraya	sammUtray
parimfg	parimfgay
pramfg	pramfgay
vimfg	vimfgay
Amokz	Amokzay
parimokz	parimokzay
pramokz	pramokzay
sampramokz	sampramokzay
pratimokz	pratimokzay
vimokz	vimokzay
sammokz	sammokzay
aBimlE	aBimlA
AmlE	AmlA
parimlE	parimlA
viparimlE	viparimlA
pramlE	pramlA
vimlE	vimlA
upayantr	upayantray
niyantr	niyantray
samyantr	samyantray
anuraYj	anuraj
aparaYj	aparaj
aBiraYj	aBiraj
samaBiraYj	samaBiraj
udraYj	udraj
uparaYj	uparaj
pratiraYj	pratiraj
viraYj	viraj
saMraYj	saMraj
anusaMraYj	anusaMraj
aBisaMraYj	aBisaMraj
virUkz	virUkzay
nirUp	nirUpay
prarUp	prarUpay
virUp	virUpay
atilakz	atilakzay
anulakz	anulakzay
aBilakz	aBilakzay
Alakz	Alakzay
upAlakz	upAlakzay
samAlakz	samAlakzay
upalakz	upalakzay
aByupalakz	aByupalakzay
samupalakz	samupalakzay
sampratilakz	sampratilakzay
vilakz	vilakzay
saMlakz	saMlakzay
viliK	viliKApay
udliNg	udliNgay
anuvf	anuvar
apavf	apavar
apivf	apivar
aBivf	aBivar
Avf	Avar
apAvf	apAvar
upAvf	upAvar
samupAvf	samupAvar
paryAvf	paryAvar
prAvf	prAvar
saMprAvf	saMprAvar
vyAvf	vyAvar
samAvf	samAvar
udvf	udvar
nivf	nivar
upanivf	upanivar
pratinivf	pratinivar
vinivf	vinivar
saMnivf	saMnivar
nisvf	nisvar
parinisvf	parinisvar
parivf	parivar
aBiparivf	aBiparivar
saMparivf	saMparivar
pravf	pravar
prativf	prativar
vivf	vivar
saMvf	saMvar
aBisaMvf	aBisaMvar
samaBisaMvf	samaBisaMvar
parisaMvf	parisaMvar
aDivfj	aDivarj
anuvfj	anuvarj
apavfj	apavarj
