kratupadDati,yajYaviDiratnagumPavallIkalpalatikA
gaNgAlaharI,pIyUzalaharI
gajAyurveda,hastyAyurveda
gaRitacUqAmaRi,vAsanAsArasarvasva
gaRitasAra,triSatI
gfhyAgnisAgara,prayogasAra
gopAla,vopadeva
gopAladeva,manyudeva
gopIgItA,gopikAgItA
gOtamItantra,gOtamIyatantra
grahaBAvaprakASa,BuvanadIpa
grahalAGava,sidDAntarahasya
caturviMSatigAyatrI,gAyatrImantra
caturviMSatimunimata,caturviMSatismfti
caturvedatAtparyasaMgraha,stutisUktimAlA
campUrAmAyaRa,BojacampU
cikitsAkalikA,yogamAlA
cidAnandastavarAja,cidAnandadaSaSlokI
cidAnandastavarAja,sidDAntabindu
cInAcArasAratantra,AcArasAratantra
cInAcArasAratantra,mahAcInakramAcAra
CandogapadDati,daSakarmapadDati
jawApawala,vikftivallI
janmezwakAlaSoDana,garBezwakAlaSoDana
janmezwaSoDana,izwaSoDana
jAtakapadDati,keSavI
jYAnaBAskara,sUryAruRasaMvAda
jYAnarAja,jYAnADirAja
jyotizakedAra,jyotizkedAra
tattvamuktAvalI,mAyAvAdaSatadUzaRI
tarkaBAzA,tarkapariBAzA
tAjikatantrasAra,gaRakaBUzaRa
tAjikatantrasAra,karmaprakASa
tAjikatantrasAra,manuzyajAtaka
tiTikalpadruma,paYcANgapattraracanA
tiTicandrikA,tiTinirRaya
triMSacClokI,ASOcatriMSacClokI
trikUwArcanapadDati,tripurArcanapadDati
tripurasundarImahodaya,sundarImahodaya
damayantIkaTA,nalacampU
daSarUpa,daSarUpaka
daSaSlokI,sidDAntaratna
daSAvatArasupraBAta,daSAvatArastuti
divAkara,dinakara
devatAnukramafgvede,fgvedadevatAkrama
devIkavaca,brahmakavaca
dravyaguRaSataSlokI,SataSlokI
DIkowI,DIkowikaraRa
naYvAda,naYarTavAda
narakAsuravaDa,narakAsuravijaya
narapatijayacaryA,svarodaya
narendra,narahari
navyamatavAda,navyamatavicAra
nAgeSaBawwa,nAgojIBawwa
nAracandra,jyotiHsAra
nAradapaYcarAtrasAra,lakzmItantra
nAradapurARa,nAradIyapurARa
nAradapurARa,bfhannAradapurARa
nityAnanda,nityAnandASrama
nimbAditya,nimbArka
nimbAditya,niyamAnanda
